model,json_file,section,BERTScore_F1,BERTScore_P,BERTScore_R,F,R,A,C,U
RLHFlow/LLaMA3-SFT,x2i9tanz.json,model_details,0.4009859263896942,0.4210980236530304,0.37892526388168335,3,4,4,3,4
RLHFlow/LLaMA3-SFT,x2i9tanz.json,intended_use,0.25088173151016235,0.3458928167819977,0.1711990386247635,3,4,4,4,4
RLHFlow/LLaMA3-SFT,x2i9tanz.json,generative_capabilities,0.28069183230400085,0.3254937529563904,0.23713533580303192,4,4,4,4,4
RLHFlow/LLaMA3-SFT,x2i9tanz.json,safety_considerations,0.18353009223937988,0.2629038691520691,0.11506668478250504,3,3,3,3,3
RLHFlow/LLaMA3-SFT,x2i9tanz.json,training_data,0.30840200185775757,0.36116334795951843,0.25846225023269653,4,4,4,4,4
RLHFlow/LLaMA3-SFT,x2i9tanz.json,performance_metrics,0.24339453876018524,0.2684529721736908,0.21640488505363464,4,4,4,4,4
RLHFlow/LLaMA3-SFT,x2i9tanz.json,ethical_considerations,-0.09524112194776535,-0.0012391488999128342,-0.1654539853334427,2,2,2,2,2
RLHFlow/LLaMA3-SFT,x2i9tanz.json,caveats_recommendations,0.2974400520324707,0.37757638096809387,0.22722309827804565,4,4,4,4,4
RLHFlow/LLaMA3-SFT,r2muljav.json,model_details,0.3046558201313019,0.29159095883369446,0.31467995047569275,5,5,4,5,5
RLHFlow/LLaMA3-SFT,r2muljav.json,intended_use,-0.10080264508724213,0.006241353694349527,-0.17686080932617188,1,1,1,1,1
RLHFlow/LLaMA3-SFT,r2muljav.json,generative_capabilities,0.3133808970451355,0.3104528784751892,0.31300145387649536,5,5,5,5,5
RLHFlow/LLaMA3-SFT,r2muljav.json,safety_considerations,-0.09814177453517914,0.0015626557869836688,-0.17096149921417236,1,1,1,1,1
RLHFlow/LLaMA3-SFT,r2muljav.json,training_data,0.292309045791626,0.3469559848308563,0.24093401432037354,5,5,5,5,5
RLHFlow/LLaMA3-SFT,r2muljav.json,performance_metrics,0.2891913056373596,0.328235924243927,0.25034767389297485,5,5,5,5,5
RLHFlow/LLaMA3-SFT,r2muljav.json,ethical_considerations,-0.09524112194776535,-0.0012391488999128342,-0.1654539853334427,1,1,1,1,1
RLHFlow/LLaMA3-SFT,r2muljav.json,caveats_recommendations,-0.10379079729318619,0.012095744721591473,-0.18353399634361267,1,1,1,1,1
RLHFlow/LLaMA3-SFT,b3k3qmvi.json,model_details,0.44663676619529724,0.5514054298400879,0.35789164900779724,5,5,5,5,5
RLHFlow/LLaMA3-SFT,b3k3qmvi.json,intended_use,0.17685332894325256,0.3658527433872223,0.049959391355514526,5,5,4,5,5
RLHFlow/LLaMA3-SFT,b3k3qmvi.json,generative_capabilities,0.18571412563323975,0.31700584292411804,0.08610175549983978,4,5,3,4,4
RLHFlow/LLaMA3-SFT,b3k3qmvi.json,safety_considerations,-0.09814177453517914,0.0015626557869836688,-0.17096149921417236,1,2,1,2,1
RLHFlow/LLaMA3-SFT,b3k3qmvi.json,training_data,0.24627435207366943,0.4762575328350067,0.09826463460922241,4,5,3,4,4
RLHFlow/LLaMA3-SFT,b3k3qmvi.json,performance_metrics,0.20528462529182434,0.36531326174736023,0.0902419164776802,5,5,5,5,5
RLHFlow/LLaMA3-SFT,b3k3qmvi.json,ethical_considerations,-0.09524112194776535,-0.0012391488999128342,-0.1654539853334427,1,1,1,1,1
RLHFlow/LLaMA3-SFT,b3k3qmvi.json,caveats_recommendations,0.16576525568962097,0.3718307316303253,0.03250199928879738,5,5,5,5,5
RLHFlow/LLaMA3-SFT,fiit2018.json,model_details,0.4016866683959961,0.5927390456199646,0.2633686065673828,3,5,3,3,3
RLHFlow/LLaMA3-SFT,fiit2018.json,intended_use,0.3687056601047516,0.6293802261352539,0.2005476951599121,5,5,5,5,5
RLHFlow/LLaMA3-SFT,fiit2018.json,generative_capabilities,0.20804361999034882,0.27630946040153503,0.14698252081871033,4,5,3,4,4
RLHFlow/LLaMA3-SFT,fiit2018.json,safety_considerations,0.21047893166542053,0.2831742465496063,0.14627793431282043,5,5,5,5,5
RLHFlow/LLaMA3-SFT,fiit2018.json,training_data,0.2991138994693756,0.5061727166175842,0.1577267199754715,5,5,5,5,5
RLHFlow/LLaMA3-SFT,fiit2018.json,performance_metrics,0.18856804072856903,0.2556349039077759,0.1285201460123062,5,5,5,5,5
